LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 1144.7181483884924, 21.26411421155094, 1.9935107073329008, 32.560674886437376, 50.0, 50.0, 49.99269345732315,
1, 1600.3058448719519, 3.0741330719274598, 0.28819997549319937, 75.31626026222277, 50.0, 50.0, 168.6299039780521,
2, 368.5570645463973, 1.2642599634549854, 0.11852437157390489, 9.911798113487086, 49.99761598245363, 50.0, 49.98854296388543,
3, 371.42116691304517, 9.19928586781536, 0.8624330501076901, 14.08640648509227, 49.99544889104645, 49.99591325196164, 15.817787760570596,
4, 952.0932837079599, 23.581257800816346, 2.2107429188265324, 36.10880100750003, 50.0, 49.99591325196164, 41.076313029240964,
