LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 13833.0, 451584, 1.0, 13574.0, 147456, 127.0, 13895.0, 451584, -3011.0, -1.0, 150550, -2950.0, -1.0, 147500, 13895.0, 22926.0, 451584,
1, 65.0, 7271.0, 238336, 1.0, 7012.0, 75264, 127.0, 7293.0, 230496, -251.0, -1.0, 12550, -1557.0, -1.0, 77850, 7333.0, 11942.0, 230496,
2, 65.0, 7231.0, 230496, 1.0, 7012.0, 75264, 127.0, 7333.0, 238336, -4767.0, -1.0, 238350, -1506.0, -1.0, 75300, 7333.0, 12099.0, 238336,
3, 65.0, 402108.0, 7225344, 1.0, 401849.0, 2359296, 127.0, 402170.0, 7225344, -3011.0, -1.0, 150550, -10486.0, 367044.0, 18874800, 16140.0, 410361.0, 7225344,
4, 65.0, 856565.0, 7225344, 1.0, 856306.0, 2359296, 127.0, 856627.0, 7225344, -10486.0, 849446.0, 42992600, -10486.0, 367044.0, 18874800, 16140.0, 864818.0, 7225344,
