LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 1004.3746494671901, 0.18972838714846565, 0.011858024196779103, 62.04631039179553, 50.0, 50.0, 50.0,
1, 764.0406368460955, 1.3974222896133435, 0.08733889310083397, 56.595602729340406, 50.0, 50.0, 49.999732083054255,
2, 764.0406368460955, 1.3974222896133435, 0.08733889310083397, 56.595602729340406, 50.0, 50.0, 49.999732083054255,
3, 764.0406368460955, 1.3974222896133435, 0.08733889310083397, 56.595602729340406, 50.0, 50.0, 49.999732083054255,
4, 764.0406368460955, 1.3974222896133435, 0.08733889310083397, 56.595602729340406, 50.0, 50.0, 49.999732083054255,
5, 581.1891891891892, 7.9073359073359075, 0.4942084942084942, 86.10210210210211, 50.0, 50.0, 49.98854296388543,
6, 736.2924676961866, 11.618027103687362, 0.7261266939804601, 81.81027418846517, 50.0, 50.0, 49.996918335901384,
7, 44.04582651391162, 1.6759410801963994, 0.10474631751227496, 88.09165302782324, 50.0, 50.0, 49.999071063632144,
8, 736.2924676961866, 11.618027103687362, 0.7261266939804601, 81.81027418846517, 50.0, 50.0, 49.996918335901384,
9, 736.2924676961866, 11.618027103687362, 0.7261266939804601, 81.81027418846517, 50.0, 50.0, 49.996918335901384,
10, 390.7562734352466, 21.265647533890974, 1.3291029708681859, 43.4173637150274, 50.0, 50.0, 49.99269345732315,
11, 378.52367370222476, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 50.0, 49.99186330349878,
12, 47.48557295960428, 6.753503709810388, 0.4220939818631492, 47.48557295960428, 50.0, 50.0, 50.0,
13, 378.52367370222476, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 50.0, 49.99186330349878,
14, 378.52367370222476, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 50.0, 49.99186330349878,
15, 157.18203967977723, 34.216498433693005, 2.138531152105813, 14.553892562942337, 50.0, 50.0, 49.99601434834595,
16, 94.3553341068869, 40.25827588560508, 2.5161422428503175, 7.862944508907241, 50.0, 50.0, 50.0,
17, 36.75602916432978, 18.37801458216489, 1.1486259113853057, 18.37801458216489, 50.0, 50.0, 49.951219512195124,
18, 94.3553341068869, 40.25827588560508, 2.5161422428503175, 7.862944508907241, 50.0, 50.0, 50.0,
19, 94.3553341068869, 40.25827588560508, 2.5161422428503175, 7.862944508907241, 50.0, 50.0, 50.0,
20, 1.337251061051257, 41.78909565785178, 2.6118184786157363, 0.32647730982696704, 50.0, 50.0, 50.0,
