LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 18465.0, 602112, 1.0, 18206.0, 196608, 127.0, 18527.0, 602112, -4015.0, -1.0, 200750, -3933.0, -1.0, 196650, 16140.0, 20083.0, 602112,
1, 65.0, 12599.0, 652288, 1.0, 11752.0, 50176, 127.0, 12613.0, 614656, -1004.0, -1.0, 50200, -1065.0, -1.0, 53250, 10250.0, 14468.0, 614656,
2, 65.0, 13147.0, 614656, 1.0, 12348.0, 50176, 127.0, 13257.0, 652288, -10486.0, 10486.0, 1048600, -1004.0, -1.0, 50200, 10846.0, 15816.0, 652288,
3, 65.0, 887594.0, 12845056, 1.0, 887335.0, 4194304, 127.0, 887656.0, 12845056, -10486.0, 461427.0, 23593500, -10486.0, 828472.0, 41944000, 16140.0, 892898.0, 12845056,
4, 65.0, 887594.0, 12845056, 1.0, 887335.0, 4194304, 127.0, 887656.0, 12845056, -4015.0, -1.0, 200750, -10486.0, 828472.0, 41944000, 16140.0, 892898.0, 12845056,
