LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 36167.0, 1193472, 1.0, 32248.0, 73728, 127.0, 36229.0, 225792, -1311.0, 35423.0, 1835400, -1311.0, -1.0, 65550, 8536.0, 36812.0, 225792,
1, 65.0, 7239.0, 1259776, 33.0, 7012.0, 37632, 127.0, 7293.0, 230496, -251.0, -1.0, 12550, -779.0, -1.0, 38950, 2132.0, 8010.0, 230496,
2, 65.0, 33211.0, 663040, 1.0, 33004.0, 37632, 127.0, 33325.0, 125440, -1311.0, 31487.0, 1638750, -753.0, -1.0, 37650, 16528.0, 34523.0, 125440,
3, 65.0, 579047.0, 19095552, 1.0, 575704.0, 1179648, 127.0, 579109.0, 3612672, -1311.0, 578591.0, 28973100, -1311.0, 440831.0, 22090350, 8536.0, 579271.0, 3612672,
4, 65.0, 1799354.0, 19095552, 1.0, 1799095.0, 1179648, 127.0, 1799416.0, 3612672, -1311.0, 1797439.0, 89869050, -1311.0, 587775.0, 29431950, 27964.0, 1799578.0, 3612672,
