LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 42869.0, 56475648.0, 1.0, 42486.0, 294912, 255.0, 42995.0, 589824, -2622.0, 41967.0, 2228700, -2622.0, 2622.0, 262200, 10499.0, 44305.0, 589824,
1, 129.0, 239835.0, 225902592.0, 1.0, 239452.0, 1179648, 255.0, 239961.0, 2359296, -2622.0, 183609.0, 9308100, -2622.0, 236069.0, 11930100, 10499.0, 242582.0, 2359296,
2, 129.0, 212462998.0, 112951296.0, 1.0, 212462615.0, 1179648, 255.0, 212463124.0, 2359296, -2622.0, 212460376.0, 10619100000, -2622.0, 314759.0, 15863100, 14154088.0, 212465745.0, 2359296,
3, 129.0, 58607.0, 18825216.0, 1.0, 58224.0, 384000, 255.0, 58709.0, 768000, -2622.0, 57705.0, 3015300, -2622.0, 2622.0, 262200, 10499.0, 60985.0, 768000,
