LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.0046242798432493, 0.001222131101430172, 7.638319383938575e-05, 3.996699007379752, 49.99071616040467, 50.0, 4.267844732898723,
1, 0.008202328858562634, 0.005468219239041756, 0.00034176370244010974, 3.9863318252614404, 49.99069226822613, 50.0, 4.300105927118302,
2, 0.008202328858562634, 0.005468219239041756, 0.00034176370244010974, 3.9863318252614404, 49.99069226822613, 50.0, 4.300105927118302,
3, 0.008202328858562634, 0.005468219239041756, 0.00034176370244010974, 3.9863318252614404, 49.99069226822613, 50.0, 4.300105927118302,
4, 0.008202328858562634, 0.005468219239041756, 0.00034176370244010974, 3.9863318252614404, 49.99069226822613, 50.0, 4.300105927118302,
5, 0.030226733297838496, 0.02015115553189233, 0.0012594472207432706, 3.9496264842508966, 50.0, 50.0, 4.565628175251113,
6, 0.03498544487559022, 0.02332362991706015, 0.0014577268698162593, 3.9416934559831653, 50.0, 50.0, 4.276536769198032,
7, 0.009400791355678574, 0.018801582711357148, 0.0011750989194598217, 3.95303276506284, 50.0, 50.0, 49.999071063632144,
8, 0.03498544487559022, 0.02332362991706015, 0.0014577268698162593, 3.9416934559831653, 50.0, 50.0, 4.276536769198032,
9, 0.03498544487559022, 0.02332362991706015, 0.0014577268698162593, 3.9416934559831653, 50.0, 50.0, 4.276536769198032,
10, 0.11650497710290367, 0.07766998473526911, 0.004854374045954319, 3.8058292520281864, 50.0, 50.0, 4.401264092511689,
11, 0.15584426565055243, 0.10389617710036829, 0.006493511068773018, 3.7402623756132582, 50.0, 50.0, 4.14592383282021,
12, 0.03404283612729494, 0.06808567225458988, 0.004255354515911867, 3.829819064320681, 50.0, 50.0, 50.0,
13, 0.15584426565055243, 0.10389617710036829, 0.006493511068773018, 3.7402623756132582, 50.0, 50.0, 4.14592383282021,
14, 0.15584426565055243, 0.10389617710036829, 0.006493511068773018, 3.7402623756132582, 50.0, 50.0, 4.14592383282021,
15, 0.40678003507168364, 0.27118669004778906, 0.016949168127986816, 3.322036953085416, 50.0, 49.99523219223801, 3.8473364387448004,
16, 0.6857148171772827, 0.45714321145152176, 0.02857145071572011, 2.857145071572011, 50.0, 49.99182717192906, 3.329879763374755,
17, 0.10810882145284426, 0.2162176429056885, 0.013513602681605532, 3.459482286491016, 50.0, 50.0, 49.99885561701316,
18, 0.6857148171772827, 0.45714321145152176, 0.02857145071572011, 2.857145071572011, 50.0, 49.99182717192906, 3.329879763374755,
19, 0.6857148171772827, 0.45714321145152176, 0.02857145071572011, 2.857145071572011, 50.0, 49.99182717192906, 3.329879763374755,
20, 0.7272809918294526, 1.4545619836589052, 0.09091012397868158, 0.3636404959147263, 50.0, 50.0, 50.0,
