LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 7169119, 0, 99.24231973273146, 99.32432432432432, 99.21772676664094,
1, 6741503, 0, 99.65825128313375, 100.0, 99.55616251280135,
2, 6741503, 0, 99.65825128313375, 100.0, 99.55616251280135,
3, 6741503, 0, 99.65825128313375, 100.0, 99.55616251280135,
4, 6741503, 0, 99.65825128313375, 100.0, 99.55616251280135,
5, 3658751, 0, 98.74058114367443, 100.0, 98.36888331241883,
6, 6322175, 0, 98.542289639246, 100.0, 98.1132075471702,
7, 435711, 0, 98.82513868137366, 100.0, 98.47775175643969,
8, 6322175, 0, 98.542289639246, 100.0, 98.1132075471702,
9, 6322175, 0, 98.542289639246, 100.0, 98.1132075471702,
10, 3796991, 0, 95.14565612612724, 100.0, 93.77990430621203,
11, 5677055, 0, 93.5065099774443, 100.0, 91.71974522290081,
12, 481279, 0, 95.74487978906207, 100.0, 94.53781512604708,
13, 5677055, 0, 93.5065099774443, 100.0, 91.71974522290081,
14, 5677055, 0, 93.5065099774443, 100.0, 91.71974522290081,
15, 4349951, 0, 83.05086654999103, 100.0, 79.03225806443957,
16, 5160959, 0, 71.42858526874559, 100.0, 65.78947368407869,
17, 606207, 0, 86.48662915472768, 100.0, 83.11688311687418,
18, 5160959, 0, 71.42858526874559, 100.0, 65.78947368407869,
19, 5160959, 0, 71.42858526874559, 100.0, 65.78947368407869,
20, 351999, 0, 9.090934917428743, 100.0, 7.142857142859671,
