LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 3467, 0, 50.87972310354773, 47.4609375, 20.851063829787233,
1, 5779, 0, 15.580117667416507, 14.472656249999998, 6.385638297872339,
2, 2889, 0, 31.1656282450675, 28.172607421875, 12.858156028368795,
3, 145168, 103553, 19.442301333627245, 62.166341145833336, 27.801418439716347,
4, 276259, 234644, 10.21649973394532, 63.020833333333336, 27.801418439716347,
