LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 90245.0, 4773888, 1.0, 87320.0, 73728, 127.0, 90307.0, 225792, -656.0, 90008.0, 4526400, -656.0, 656.0, 65600, 13666.0, 90890.0, 225792,
1, 65.0, 7239.0, 5039104, 33.0, 7012.0, 37632, 127.0, 7293.0, 230496, -251.0, -1.0, 12550, -656.0, -1.0, 32800, 1050.0, 7355.0, 230496,
2, 65.0, 226675.0, 2652160, 1.0, 226464.0, 37888, 127.0, 226785.0, 125440, -656.0, 226007.0, 11316000, -656.0, -1.0, 32800, 56782.0, 227327.0, 125440,
3, 65.0, 1450221.0, 76382208, 1.0, 1447334.0, 1179648, 127.0, 1450283.0, 3612672, -656.0, 1449998.0, 72422400, -656.0, 304190.0, 15219200, 13666.0, 1450444.0, 3612672,
4, 65.0, 6634075.0, 76382208, 1.0, 6621748.0, 1179648, 127.0, 6634137.0, 3612672, -656.0, 6633728.0, 331214400, -656.0, 979586.0, 48937600, 37826.0, 6634298.0, 3612672,
