LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 343.6429599769652, 10.614454362222862, 0.9951050964583933, 32.50676648430751, 50.0, 50.0, 49.998228520814884,
1, 343.5908904950225, 5.131869630437747, 0.4811127778535388, 31.432701486431203, 50.0, 50.0, 49.999132321041216,
2, 343.63306556102617, 9.81808758745789, 0.9204457113241773, 32.50583052604301, 50.0, 50.0, 49.99601434834595,
3, 343.5564031520996, 10.611780792342845, 0.9948544492821417, 32.49857867654996, 50.0, 50.0, 46.9690571532581,
4, 343.5564031520996, 10.611780792342845, 0.9948544492821417, 32.49857867654996, 50.0, 50.0, 46.9690571532581,
