LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 211317.0, 992256, 1.0, 171582.0, 73728, 9451.0, 211379.0, 112896, -656.0, 210896.0, 10561600, -656.0, 656.0, 65600, 65498.0, 211734.0, 112896,
1, 129.0, 5557.0, 1653760, 97.0, 5330.0, 37632, 255.0, 5675.0, 230496, -502.0, -1.0, 25100, -656.0, -1.0, 32800, 956.0, 5800.0, 230627,
2, 129.0, 1008643.0, 826880, 1.0, 948152.0, 37632, 19457.0, 1008757.0, 62720, -656.0, 1007837.0, 50348000, -656.0, -1.0, 32800, 715388.0, 1009420.0, 62720,
3, 129.0, 2538371.0, 11907072, 1.0, 2498636.0, 1179648, 9451.0, 2538497.0, 1806336, -656.0, 2537990.0, 126739200, -656.0, 476324.0, 23812800, 65498.0, 2538577.0, 1806336,
4, 129.0, 15306873.0, 11907072, 1.0, 15101856.0, 1179648, 48869.0, 15306999.0, 1806336, -656.0, 15306785.0, 764207200, -656.0, 1119527.0, 55924000, 363347.0, 15307079.0, 1806336,
