LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 42551.0, 451584, 1.0, 41466.0, 147456, 127.0, 42613.0, 451584, -2622.0, 41967.0, 2228700, -2622.0, 2622.0, 262200, 4106.0, 43780.0, 451584,
1, 65.0, 7271.0, 238336, 1.0, 7012.0, 75264, 127.0, 7293.0, 230496, -251.0, -1.0, 12550, -1557.0, -1.0, 77850, 4106.0, 9321.0, 230496,
2, 65.0, 7231.0, 230496, 1.0, 7012.0, 75264, 127.0, 7333.0, 238336, -2622.0, 2622.0, 262200, -1506.0, -1.0, 75300, 4106.0, 9478.0, 238336,
3, 65.0, 1522420.0, 7225344, 1.0, 1522161.0, 2359296, 127.0, 1522482.0, 7225344, -2622.0, 897065.0, 44967300, -2622.0, 1508224.0, 75513600, 4106.0, 1522808.0, 7225344,
4, 65.0, 1522420.0, 7225344, 1.0, 1522161.0, 2359296, 127.0, 1522482.0, 7225344, -2622.0, 359350.0, 18091800, -2622.0, 1508224.0, 75513600, 4106.0, 1522808.0, 7225344,
