LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 29755.0, 1984512, 1.0, 22864.0, 73728, 255.0, 29817.0, 112896, -1311.0, 28863.0, 1507650, -1311.0, -1.0, 65550, 8310.0, 30828.0, 112896,
1, 129.0, 5557.0, 3307520, 97.0, 5330.0, 37632, 255.0, 5675.0, 230496, -502.0, -1.0, 25100, -820.0, -1.0, 41000, 1594.0, 6457.0, 230545,
2, 129.0, 32978.0, 1653760, 1.0, 27602.0, 37888, 255.0, 33092.0, 62720, -1311.0, 31487.0, 1638750, -1311.0, -1.0, 65550, 33156.0, 34410.0, 62720,
3, 129.0, 361725.0, 23814144, 1.0, 354766.0, 1179648, 255.0, 361851.0, 1806336, -1311.0, 360799.0, 18091800, -1311.0, 220415.0, 11077950, 8310.0, 362587.0, 1806336,
4, 129.0, 1798984.0, 23814144, 1.0, 1785589.0, 1179648, 255.0, 1799110.0, 1806336, -1311.0, 1797439.0, 89869050, -1311.0, 220415.0, 11077950, 52479.0, 1799846.0, 1806336,
