LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 32.50208723189866, 10.61292644306895, 32.50208723189866, 50.0, 50.0, 49.998228520814884,
1, 32.5018409927724, 10.263739260875495, 31.432701486431203, 50.0, 50.0, 49.999132321041216,
2, 31.432701486431203, 10.263739260875495, 32.5018409927724, 50.0, 50.0, 49.99706314243759,
3, 32.49799399096846, 10.611589874601947, 32.49799399096846, 50.0, 49.99761598245363, 40.947929181873825,
4, 32.49799399096846, 10.611589874601947, 32.49799399096846, 50.0, 49.99761598245363, 40.947929181873825,
