LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 3341.0, 992256, 1.0, 3018.0, 73728, 255.0, 3403.0, 112896, -3011.0, -1.0, 150550, -1967.0, -1.0, 98350, 3467.0, 5724.0, 112896,
1, 129.0, 5557.0, 1653760, 97.0, 5330.0, 37632, 255.0, 5675.0, 230496, -502.0, -1.0, 25100, -820.0, -1.0, 41000, 5779.0, 10388.0, 230496,
2, 129.0, 2711.0, 826880, 1.0, 2440.0, 37632, 255.0, 2825.0, 62720, -5018.0, -1.0, 250900, -1506.0, -1.0, 75300, 2889.0, 4143.0, 62720,
3, 129.0, 41489.0, 11907072, 1.0, 41166.0, 1179648, 255.0, 41615.0, 1806336, -3011.0, -1.0, 150550, -23593.0, -1.0, 1179650, 41615.0, 77741.0, 1806336,
4, 129.0, 41489.0, 11907072, 1.0, 41166.0, 1179648, 255.0, 41615.0, 1806336, -12043.0, -1.0, 602150, -23593.0, -1.0, 1179650, 41615.0, 77741.0, 1806336,
