LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 392593.0, 3969024, 1.0, 331600.0, 73728, 9451.0, 392655.0, 112896, -656.0, 392228.0, 19614400, -656.0, 656.0, 65600, 131916.0, 393010.0, 112896,
1, 129.0, 5557.0, 6615040, 97.0, 5330.0, 37632, 255.0, 5675.0, 230496, -502.0, -1.0, 25100, -656.0, -1.0, 32800, 956.0, 5800.0, 230627,
2, 129.0, 1346105.0, 3307520, 1.0, 1257800.0, 37888, 47053.0, 1346215.0, 62720, -656.0, 1345535.0, 67207200, -656.0, -1.0, 32800, 941824.0, 1346878.0, 62720,
3, 129.0, 4714339.0, 47628288, 1.0, 4653346.0, 1179648, 9451.0, 4714465.0, 1806336, -656.0, 4713974.0, 235372800, -656.0, 482894.0, 24140800, 131916.0, 4714545.0, 1806336,
4, 129.0, 26163700.0, 47628288, 1.0, 25861427.0, 1179648, 60695.0, 26163826.0, 1806336, -656.0, 26163053.0, 1306194400, -656.0, 827819.0, 41360800, 701158.0, 26163906.0, 1806336,
