LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 4497.0, 2646016, 1.0, 4174.0, 98304, 255.0, 4559.0, 150528, -4015.0, -1.0, 200750, -2622.0, -1.0, 131100, 4623.0, 7633.0, 150528,
1, 129.0, 7939.0, 6530048, 97.0, 7124.0, 25088, 255.0, 8049.0, 614656, -2008.0, -1.0, 100400, -574.0, -1.0, 28700, 8161.0, 20454.0, 614656,
2, 129.0, 4417.0, 3731456, 1.0, 3626.0, 25088, 255.0, 4599.0, 200704, -14050.0, -1.0, 702500, -1004.0, -1.0, 50200, 4663.0, 8677.0, 200704,
3, 129.0, 73857.0, 42336256, 1.0, 73534.0, 2097152, 255.0, 73983.0, 3211264, -16057.0, -1.0, 802850, -41944.0, -1.0, 2097200, 60526.0, 85779.0, 3211264,
4, 129.0, 73857.0, 42336256, 1.0, 73534.0, 2097152, 255.0, 73983.0, 3211264, -4015.0, -1.0, 200750, -41944.0, -1.0, 2097200, 60526.0, 85779.0, 3211264,
