LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,15907499
lws_4x4,4x4,2:4,31562499
lws_4x4,4x4,3:4,47469999
lws_4x4,4x4,4:4,63124999
lws_8x8,8x8,1:8,2043999
lws_8x8,8x8,2:8,4087999
lws_8x8,8x8,3:8,6004249
lws_8x8,8x8,4:8,8048249
lws_8x8,8x8,5:8,10092249
lws_8x8,8x8,6:8,12008499
lws_8x8,8x8,7:8,14052499
lws_8x8,8x8,8:8,15968749
lws_16x16,16x16,1:16,263591
lws_16x16,16x16,2:16,527183
lws_16x16,16x16,3:16,790775
lws_16x16,16x16,4:16,1054367
lws_16x16,16x16,5:16,1317959
lws_16x16,16x16,6:16,1581551
lws_16x16,16x16,7:16,1845143
lws_16x16,16x16,8:16,2108735
lws_16x16,16x16,9:16,2372327
lws_16x16,16x16,10:16,2635919
lws_16x16,16x16,11:16,2899511
lws_16x16,16x16,12:16,3097205
lws_16x16,16x16,13:16,3360797
lws_16x16,16x16,14:16,3624389
lws_16x16,16x16,15:16,3887981
lws_16x16,16x16,16:16,4151573
lws_32x32,32x32,1:32,35007
lws_32x32,32x32,2:32,70015
lws_32x32,32x32,3:32,105023
lws_32x32,32x32,4:32,140031
lws_32x32,32x32,5:32,175039
lws_32x32,32x32,6:32,210047
lws_32x32,32x32,7:32,245055
lws_32x32,32x32,8:32,280063
lws_32x32,32x32,9:32,315071
lws_32x32,32x32,10:32,350079
lws_32x32,32x32,11:32,385087
lws_32x32,32x32,12:32,420095
lws_32x32,32x32,13:32,455103
lws_32x32,32x32,14:32,490111
lws_32x32,32x32,15:32,525119
lws_32x32,32x32,16:32,560127
lws_32x32,32x32,17:32,595135
lws_32x32,32x32,18:32,630143
lws_32x32,32x32,19:32,665151
lws_32x32,32x32,20:32,700159
lws_32x32,32x32,21:32,735167
lws_32x32,32x32,22:32,770175
lws_32x32,32x32,23:32,805183
lws_32x32,32x32,24:32,840191
lws_32x32,32x32,25:32,875199
lws_32x32,32x32,26:32,910207
lws_32x32,32x32,27:32,945215
lws_32x32,32x32,28:32,980223
lws_32x32,32x32,29:32,1015231
lws_32x32,32x32,30:32,1050239
lws_32x32,32x32,31:32,1085247
lws_32x32,32x32,32:32,1120255
