LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,1603583
lws_4x4,4x4,2:4,3207167
lws_4x4,4x4,3:4,4810751
lws_4x4,4x4,4:4,6414335
lws_8x8,8x8,1:8,205055
lws_8x8,8x8,2:8,410111
lws_8x8,8x8,3:8,615167
lws_8x8,8x8,4:8,820223
lws_8x8,8x8,5:8,1025279
lws_8x8,8x8,6:8,1230335
lws_8x8,8x8,7:8,1435391
lws_8x8,8x8,8:8,1640447
lws_16x16,16x16,1:16,26783
lws_16x16,16x16,2:16,53567
lws_16x16,16x16,3:16,80351
lws_16x16,16x16,4:16,107135
lws_16x16,16x16,5:16,133919
lws_16x16,16x16,6:16,160703
lws_16x16,16x16,7:16,187487
lws_16x16,16x16,8:16,214271
lws_16x16,16x16,9:16,241055
lws_16x16,16x16,10:16,267839
lws_16x16,16x16,11:16,294623
lws_16x16,16x16,12:16,321407
lws_16x16,16x16,13:16,348191
lws_16x16,16x16,14:16,374975
lws_16x16,16x16,15:16,401759
lws_16x16,16x16,16:16,428543
lws_32x32,32x32,1:32,14543
lws_32x32,32x32,2:32,14543
lws_32x32,32x32,3:32,14543
lws_32x32,32x32,4:32,14543
lws_32x32,32x32,5:32,29087
lws_32x32,32x32,6:32,29087
lws_32x32,32x32,7:32,29087
lws_32x32,32x32,8:32,29087
lws_32x32,32x32,9:32,43631
lws_32x32,32x32,10:32,43631
lws_32x32,32x32,11:32,43631
lws_32x32,32x32,12:32,43631
lws_32x32,32x32,13:32,58175
lws_32x32,32x32,14:32,58175
lws_32x32,32x32,15:32,58175
lws_32x32,32x32,16:32,58175
lws_32x32,32x32,17:32,72719
lws_32x32,32x32,18:32,72719
lws_32x32,32x32,19:32,72719
lws_32x32,32x32,20:32,72719
lws_32x32,32x32,21:32,87263
lws_32x32,32x32,22:32,87263
lws_32x32,32x32,23:32,87263
lws_32x32,32x32,24:32,87263
lws_32x32,32x32,25:32,101807
lws_32x32,32x32,26:32,101807
lws_32x32,32x32,27:32,101807
lws_32x32,32x32,28:32,101807
lws_32x32,32x32,29:32,116351
lws_32x32,32x32,30:32,116351
lws_32x32,32x32,31:32,116351
lws_32x32,32x32,32:32,116351
