LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 32.499163383170504, 10.611971716953635, 32.499163383170504, 50.0, 50.0, 49.99684464003986,
1, 51.51946923623726, 3.963036095095174, 48.547192164915884, 50.0, 50.0, 49.996421018382954,
2, 48.547192164915884, 3.963036095095174, 51.51946923623726, 50.0, 50.0, 49.99908017783228,
3, 32.49749154360514, 10.611425810156781, 32.49749154360514, 50.0, 49.999523169208175, 35.50339139519843,
4, 32.49749154360514, 10.611425810156781, 32.49749154360514, 50.0, 49.999523169208175, 35.50339139519843,
