LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 25107.0, 992256, 1.0, 19818.0, 73728, 255.0, 25169.0, 112896, -2622.0, 23606.0, 1311000, -1967.0, -1.0, 98350, 25233.0, 27490.0, 112896,
1, 129.0, 5557.0, 1653760, 97.0, 5330.0, 37632, 255.0, 5675.0, 230496, -502.0, -1.0, 25100, -820.0, -1.0, 41000, 3250.0, 7767.0, 230496,
2, 129.0, 5153.0, 826880, 1.0, 4882.0, 37632, 255.0, 5267.0, 62720, -2622.0, 2622.0, 262200, -1506.0, -1.0, 75300, 5331.0, 6585.0, 62720,
3, 129.0, 496394.0, 11907072, 1.0, 496071.0, 1179648, 255.0, 496520.0, 1806336, -2622.0, 440663.0, 22155900, -2622.0, 495746.0, 24909000, 22186.0, 498567.0, 1806336,
4, 129.0, 722081.0, 11907072, 1.0, 721758.0, 1179648, 255.0, 722207.0, 1806336, -2622.0, 721324.0, 36183600, -2622.0, 495746.0, 24909000, 53344.0, 724254.0, 1806336,
