LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,0:4,54476799
lws_8x8,8x8,0:8,14233599
lws_16x16,16x16,0:16,3865599
lws_32x32,32x32,0:32,1119999
