LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,0:4,3796991
lws_8x8,8x8,0:8,1004543
lws_16x16,16x16,0:16,278783
lws_32x32,32x32,0:32,83519
