LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 147456, 80640.0, 6912.0, 0.273883583627214,
1, ellpack_block, 75264, 41160.0, 3528.0, 0.6104862432946877,
2, ellpack_block, 75264, 41440.0, 3552.0, 0.6662915025323579,
3, ellpack_block, 2359296, 1290240.0, 110592.0, 0.24990791605559837,
4, ellpack_block, 2359296, 1290240.0, 110592.0, 0.1531522424024207,
