LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 43.411103100216295, 21.262581110310023, 32.55832732516222, 50.0, 50.0, 49.998228520814884,
1, 21.70617753936667, 13.023706523620003, 39.88510122858626, 50.0, 50.0, 49.999132321041216,
2, 39.88510122858626, 13.023706523620003, 21.70617753936667, 50.0, 50.0, 49.99601434834595,
3, 43.405365789189126, 28.346361331715347, 43.405365789189126, 50.0, 50.0, 84.9440865271573,
4, 43.405365789189126, 28.346361331715347, 43.405365789189126, 50.0, 50.0, 84.9440865271573,
