LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 3681439, 0, 193.26138501819534, 97.36842105263158, 97.26392262336716,
1, 3370751, 0, 199.31653213186024, 100.0, 99.55616251280303,
2, 3370751, 0, 199.31653213186024, 100.0, 99.55616251280303,
3, 3370751, 0, 199.31653213186024, 100.0, 99.55616251280303,
4, 3370751, 0, 199.31653213186024, 100.0, 99.55616251280303,
5, 1829375, 0, 197.4812162623847, 100.0, 98.3688833124231,
6, 3161087, 0, 197.08461045203754, 100.0, 98.11320754716554,
7, 217855, 0, 197.65073099079663, 100.0, 98.47775175643977,
8, 3161087, 0, 197.08461045203754, 100.0, 98.11320754716554,
9, 3161087, 0, 197.08461045203754, 100.0, 98.11320754716554,
10, 1898495, 0, 190.29136236861302, 100.0, 93.77990430621266,
11, 2838527, 0, 187.01305289680175, 100.0, 91.71974522290714,
12, 240639, 0, 191.490157455774, 100.0, 94.5378151260485,
13, 2838527, 0, 187.01305289680175, 100.0, 91.71974522290714,
14, 2838527, 0, 187.01305289680175, 100.0, 91.71974522290714,
15, 2174975, 0, 166.10177128472742, 100.0, 79.03225806448036,
16, 2580479, 0, 142.85719821785025, 100.0, 65.78947368417663,
17, 303103, 0, 172.9735436468791, 100.0, 83.11688311687587,
18, 2580479, 0, 142.85719821785025, 100.0, 65.78947368417663,
19, 2580479, 0, 142.85719821785025, 100.0, 65.78947368417663,
20, 175999, 0, 18.181921488190273, 100.0, 7.142857142857186,
