LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 5.0, 3681435.0, 17024, 1.0, 3669334.0, 4736, 7.0, 3681439.0, 14713600, -18392.0, -1.0, 919600, -95.0, -1.0, 4750, 131180.0, 3682109.0, 14713600,
1, 5.0, 3370749.0, 27648, 1.0, 3367830.0, 18432, 7.0, 3370751.0, 13436928, -16797.0, -1.0, 839850, -369.0, -1.0, 18450, 131520.0, 3377345.0, 13436928,
2, 5.0, 3370749.0, 27648, 1.0, 3367830.0, 18432, 7.0, 3370751.0, 13436928, -16797.0, -1.0, 839850, -369.0, -1.0, 18450, 131520.0, 3377345.0, 13436928,
3, 5.0, 3370749.0, 27648, 1.0, 3367830.0, 18432, 7.0, 3370751.0, 13436928, -16797.0, -1.0, 839850, -369.0, -1.0, 18450, 131520.0, 3377345.0, 13436928,
4, 5.0, 3370749.0, 27648, 1.0, 3367830.0, 18432, 7.0, 3370751.0, 13436928, -16797.0, -1.0, 839850, -369.0, -1.0, 18450, 131520.0, 3377345.0, 13436928,
5, 5.0, 1829373.0, 55296, 1.0, 1828586.0, 36864, 7.0, 1829375.0, 7225344, -4516.0, -1.0, 225800, -738.0, -1.0, 36900, 132750.0, 1837566.0, 7225344,
6, 5.0, 3161085.0, 110592, 1.0, 3160406.0, 73728, 7.0, 3161087.0, 12460032, -7788.0, -1.0, 389400, -1475.0, -1.0, 73750, 133010.0, 3169114.0, 12460032,
7, 5.0, 217823.0, 2048, 1.0, 217009.0, 4096, 7.0, 217855.0, 861184, -539.0, -1.0, 26950, -82.0, -1.0, 4100, 132630.0, 224592.0, 861184,
8, 5.0, 3161085.0, 110592, 1.0, 3160406.0, 73728, 7.0, 3161087.0, 12460032, -7788.0, -1.0, 389400, -1475.0, -1.0, 73750, 133010.0, 3169114.0, 12460032,
9, 5.0, 3161085.0, 110592, 1.0, 3160406.0, 73728, 7.0, 3161087.0, 12460032, -7788.0, -1.0, 389400, -1475.0, -1.0, 73750, 133010.0, 3169114.0, 12460032,
10, 5.0, 1898493.0, 221184, 1.0, 1898294.0, 147456, 7.0, 1898495.0, 7225344, -2258.0, -1.0, 112900, -2950.0, -1.0, 147500, 137760.0, 1906686.0, 7225344,
11, 5.0, 2838525.0, 442368, 1.0, 2838378.0, 294912, 7.0, 2838527.0, 10616832, -3318.0, -1.0, 165900, -5899.0, -1.0, 294950, 140180.0, 2841148.0, 10616832,
12, 5.0, 240621.0, 8192, 1.0, 240409.0, 16384, 7.0, 240639.0, 921600, -288.0, -1.0, 14400, -328.0, -1.0, 16400, 136900.0, 248585.0, 921600,
13, 5.0, 2838525.0, 442368, 1.0, 2838378.0, 294912, 7.0, 2838527.0, 10616832, -3318.0, -1.0, 165900, -5899.0, -1.0, 294950, 140180.0, 2841148.0, 10616832,
14, 5.0, 2838525.0, 442368, 1.0, 2838378.0, 294912, 7.0, 2838527.0, 10616832, -3318.0, -1.0, 165900, -5899.0, -1.0, 294950, 140180.0, 2841148.0, 10616832,
15, 5.0, 2174973.0, 884736, 1.0, 2174921.0, 589824, 7.0, 2174975.0, 7225344, -1129.0, -1.0, 56450, -11797.0, -1.0, 589850, 157820.0, 2183166.0, 7225344,
16, 5.0, 2580477.0, 1769472, 1.0, 2580449.0, 1179648, 7.0, 2580479.0, 7372800, -1152.0, -1.0, 57600, -23593.0, -1.0, 1179650, 183500.0, 2581134.0, 7372800,
17, 5.0, 303092.0, 32768, 1.0, 303034.0, 65536, 7.0, 303103.0, 1048576, -164.0, -1.0, 8200, -1311.0, -1.0, 65550, 151559.0, 313588.0, 1048576,
18, 5.0, 2580477.0, 1769472, 1.0, 2580449.0, 1179648, 7.0, 2580479.0, 7372800, -1152.0, -1.0, 57600, -23593.0, -1.0, 1179650, 183500.0, 2581134.0, 7372800,
19, 5.0, 2580477.0, 1769472, 1.0, 2580449.0, 1179648, 7.0, 2580479.0, 7372800, -1152.0, -1.0, 57600, -23593.0, -1.0, 1179650, 183500.0, 2581134.0, 7372800,
20, 5.0, 175997.0, 128000, 1.0, 175993.0, 256000, 7.0, 175999.0, 64000, -6.0, -1.0, 300, -5120.0, -1.0, 256000, 175999.0, 177278.0, 64000,
