LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 5032.0, 296.0, 8.040334228001605e-05,
1, ellpack_block, 36864, 19584.0, 1152.0, 0.00034176360104914305,
2, ellpack_block, 36864, 19584.0, 1152.0, 0.00034176360104914305,
3, ellpack_block, 36864, 19584.0, 1152.0, 0.00034176360104914305,
4, ellpack_block, 36864, 19584.0, 1152.0, 0.00034176360104914305,
5, ellpack_block, 73728, 39168.0, 2304.0, 0.0012594465322856166,
6, ellpack_block, 147456, 78336.0, 4608.0, 0.0014577264086689167,
7, ellpack_block, 8192, 4352.0, 256.0, 0.001175093525510087,
8, ellpack_block, 147456, 78336.0, 4608.0, 0.0014577264086689167,
9, ellpack_block, 147456, 78336.0, 4608.0, 0.0014577264086689167,
10, ellpack_block, 294912, 156672.0, 9216.0, 0.00485437148899523,
11, ellpack_block, 589824, 313344.0, 18432.0, 0.00649350878113895,
12, ellpack_block, 32768, 17408.0, 1024.0, 0.004255336832350533,
13, ellpack_block, 589824, 313344.0, 18432.0, 0.00649350878113895,
14, ellpack_block, 589824, 313344.0, 18432.0, 0.00649350878113895,
15, ellpack_block, 1179648, 626688.0, 36864.0, 0.016949160335176267,
16, ellpack_block, 2359296, 1253376.0, 73728.0, 0.028571439643570052,
17, ellpack_block, 131072, 69632.0, 4096.0, 0.01351355809741243,
18, ellpack_block, 2359296, 1253376.0, 73728.0, 0.028571439643570052,
19, ellpack_block, 2359296, 1253376.0, 73728.0, 0.028571439643570052,
20, ellpack_block, 512000, 272000.0, 16000.0, 0.09090960744095136,
