LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 11525.0, 5292032, 1.0, 11202.0, 98304, 255.0, 11587.0, 150528, -2622.0, 10491.0, 655500, -2622.0, -1.0, 131100, 10870.0, 12040.0, 150528,
1, 129.0, 8581.0, 13060096, 97.0, 7766.0, 25088, 255.0, 8691.0, 614656, -2008.0, -1.0, 100400, -574.0, -1.0, 28700, 1724.0, 13231.0, 614674,
2, 129.0, 541710.0, 7462912, 1.0, 540919.0, 25600, 255.0, 541892.0, 200704, -2622.0, 540337.0, 27137700, -1024.0, -1.0, 51200, 477897.0, 543348.0, 200704,
3, 129.0, 2340050.0, 84672512, 1.0, 2339727.0, 2097152, 255.0, 2340176.0, 3211264, -2622.0, 1817738.0, 90983400, -2622.0, 2337092.0, 116941200, 69184.0, 2341486.0, 3211264,
4, 129.0, 408707.0, 84672512, 1.0, 408384.0, 2097152, 255.0, 408833.0, 3211264, -2622.0, 236069.0, 11930100, -2622.0, 398695.0, 20058300, 9646.0, 410143.0, 3211264,
