LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 6562.0, 12112100.0, 1.0, 3535.0, 17472, 255.0, 6781.0, 580800, -15488.0, -1.0, 774400, -466.0, -1.0, 23300, 6813.0, 18428.0, 580800,
1, 129.0, 831613.0, 989016000.0, 1.0, 790357.0, 307200, 255.0, 831819.0, 105495040, -1048576.0, -1.0, 52428800, -6144.0, -1.0, 307200, 413356.0, 1893144.0, 105495089,
2, 129.0, 13454.0, 2509056.0, 1.0, 13206.0, 442368, 255.0, 13580.0, 418176, -2788.0, -1.0, 139400, -8848.0, -1.0, 442400, 13580.0, 21943.0, 418176,
3, 129.0, 20935.0, 3763584.0, 1.0, 20751.0, 663552, 255.0, 21125.0, 650496, -4337.0, -1.0, 216850, -13272.0, -1.0, 663600, 21125.0, 34134.0, 650496,
4, 129.0, 13893.0, 2509056.0, 1.0, 13709.0, 442368, 255.0, 14083.0, 433664, -4337.0, -1.0, 216850, -8848.0, -1.0, 442400, 14083.0, 22756.0, 433664,
